city,season,metric,status,stored_bias_c,recomputed_bias_c,delta_bias_c,stored_sd_c,recomputed_sd_c,delta_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,reason,action,how
Taipei,MAM,high,NON_REPRODUCIBLE,-1.1979797886866888,-1.6934428420721066,-0.49546305338541785,1.4609258893534633,1.4525570510130907,-0.008368838340372609,15,50,1,pregate_ungated_paired_delta delta_bias=-0.4955 paired_delta_mean=+0.4955,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Tel Aviv,MAM,high,REPRODUCIBLE,-1.3947604243791456,-1.3947604243791456,0.0,1.6875530862502692,1.7470669623911605,0.05951387614089132,11,55,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Tokyo,MAM,high,REPRODUCIBLE,-1.4628744798547848,-1.4829857809822915,-0.020111301127506698,1.92770543090542,1.8651142018220577,-0.06259122908336234,15,61,5,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Tokyo,MAM,low,NON_REPRODUCIBLE,1.6719830880757485,1.6719830880757485,0.0,1.5005233266219131,1.1625390541495075,-0.3379842724724056,4,3,0,sd_diff delta_sd=-0.3380,E_LOW_SCALE_REGEN,"bias_c OK; residual_sd changed → regen p_raw for LOW cohort (scale only, no bias refit)"
Toronto,DJF,high,REPRODUCIBLE,1.1166294511128836,1.1166294511128836,0.0,2.3962700883216543,2.3962700883216543,0.0,0,75,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Toronto,MAM,high,NON_REPRODUCIBLE,-1.8877344468060446,-1.9106351964613744,-0.022900749655329733,1.7474482026140046,2.1312865671158785,0.3838383645018739,15,67,1,pregate_ungated_paired_delta delta_bias=-0.0229 paired_delta_mean=+0.0229,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Warsaw,MAM,high,REPRODUCIBLE,-0.5373266107895567,-0.5373266107895567,0.0,1.8135961322598184,1.808574328282378,-0.005021803977440342,16,48,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Wellington,DJF,high,REPRODUCIBLE,-3.0777023801616363,-3.0777023801616363,0.0,1.3931780708404269,1.3931780708404269,0.0,0,38,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Wellington,MAM,high,NON_REPRODUCIBLE,-1.7227517893258568,-1.8625163132995084,-0.13976452397365158,0.7316973255891898,0.7316973255891898,0.0,15,65,1,pregate_ungated_paired_delta delta_bias=-0.1398 paired_delta_mean=+0.1398,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Wuhan,MAM,high,NON_REPRODUCIBLE,-1.2526812495338655,-0.4239429060519421,0.8287383434819233,1.5498216989285432,1.5009764510603318,-0.04884524786821132,15,46,1,pregate_ungated_paired_delta delta_bias=+0.8287 paired_delta_mean=-0.8287,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
