city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
Miami,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.7272792953997173,0.991036219440005,11,65,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,55634de892d3649b,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.9706 paired_delta_mean=-0.9904,0.24330998727527842,0.9753868404668596,12,66,2,-0.990353752585019,"3,4,5",0.9705892826749957,-0.015649378973145334
Miami,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-27,-1.9047758347587933,2.9388472533979444,0,9,,,eba9bc58768df75e4e365ca3887d9d00a98a76af,91d320edb3a111ac,VERIFIED,REPRODUCIBLE,within_tolerance,-1.9047758347587933,2.9388472533979444,0,9,0,,"4,5",0.0,0.0
Milan,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.3955825356875911,1.068605694797202,15,48,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,ec1bae11f8656c06,VERIFIED,REPRODUCIBLE,within_tolerance,-0.3955825356875911,1.060739934435038,15,48,0,,"3,4,5",0.0,-0.007865760362164131
Moscow,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,0.48637886795345414,1.3008924302734959,11,35,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,db189576be0eec08,VERIFIED,REPRODUCIBLE,within_tolerance,0.48637886795345414,1.3008924302734959,11,35,0,,"3,4,5",0.0,0.0
Munich,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.9422547097299382,0.8969758707536805,15,60,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,413ae79377aa5a05,VERIFIED,REPRODUCIBLE,within_tolerance,-0.9422547097299382,0.9623981986286829,16,60,0,,"3,4,5",0.0,0.06542232787500246
NYC,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.9994578562647878,1.652190199782501,0,115,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,2f3dd4c4f3f47225,VERIFIED,REPRODUCIBLE,within_tolerance,-1.9994578562647878,1.652190199782501,0,115,0,,"1,2,12",0.0,0.0
NYC,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,0.5243337809460659,1.6199606443988315,0,92,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,5925273abbc07546,VERIFIED,REPRODUCIBLE,within_tolerance,0.5243337809460659,1.6199606443988315,0,92,0,,"6,7,8",0.0,0.0
NYC,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-3.4667559949250073,1.521973654912878,14,154,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,1af17e6ae02a52f5,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+3.2541 paired_delta_mean=-3.2541,-0.2126756152145346,1.50616960775632,16,154,1,-3.254080379710473,"3,4,5",3.254080379710473,-0.01580404715655792
NYC,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-27,-2.974710980583617,2.9385998867988548,1,5,,,eba9bc58768df75e4e365ca3887d9d00a98a76af,089a6ee9dbe7af10,VERIFIED,NON_REPRODUCIBLE,sd_diff delta_sd=-1.0850,-2.974710980583617,1.853573372321682,3,5,0,,"4,5",0.0,-1.0850265144771727
NYC,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.5917093688366234,1.4441231467808822,0,90,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,5d825e24f9d3df2a,VERIFIED,REPRODUCIBLE,within_tolerance,-0.5917093688366234,1.4441231467808822,0,90,0,,"9,10,11",0.0,0.0
Panama City,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.8794235763763254,1.3207835376872152,14,34,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,c994f019b1ade3b1,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-1.3533 paired_delta_mean=+1.3533,-2.2327073276209646,1.3043665066110144,15,34,1,1.3532837512446392,"4,5",-1.3532837512446392,-0.01641703107620085
Paris,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.2717946646619658,0.6567931164049089,0,15,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,2dfc487382f68a79,VERIFIED,COVERAGE_MISLABELED,"coverage_months=(2,) expected=(1, 2, 12)",-1.2717946646619658,0.6567931164049089,0,15,0,,2,0.0,0.0
Paris,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.210331991894729,1.0984966173505561,15,64,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,aeae1d7381b967cc,VERIFIED,REPRODUCIBLE,within_tolerance,-1.210331991894729,1.093784912138551,16,64,0,,"3,4,5",0.0,-0.004711705212005146
